Company,Industry,City_HQ,Latitude,Longitude,Simulated_Climate_Risk_Index,Scope1_GHG_Emissions,Scope2_GHG_Emissions,Water_Consumption_Intensity,Waste_Diversion_Rate,Renewable_Energy_Percentage,Female_Leadership_Ratio,Employee_Turnover_Rate,Community_Investment_PBT_Percentage,Grievances_Resolved_Percentage,Board_Independence_Percentage,Audit_Committee_Independence_Percentage,Corruption_Incidents,Debt_To_Equity,Current_Ratio,Revenue_Growth_Percentage,News_Sentiment,Controversy_Flag,Controversy_Detail,TCFD_Disclosure_Flag,SEBI_BRSR_Flag,E_Score,S_Score,G_Score,Financial_Risk_Score,Compliance_Risk_Score,News_Sentiment_Controversy_Impact,Composite_Risk_Index,Risk_Level,Risk_Explanation
HDFC Bank,Finance,Mumbai,19.076,72.8777,7.25,955.64,1517.59,3.19,40.14,15.14,11.74,26.65,2.0,91.24,50.82,99.4,1,0.92,1.21,0.5,-0.31,0,,1,1,0.16272344921617166,0.67534135769536,0.3667579596028757,0.5586162613095504,0.0,0.3275,40.79926948636846,Low,"HDFC Bank is classified as Low risk (CRI: 40.80).
Demonstrates strong performance across key risk dimensions:
  - Robust Financial Health.
  - Strong ESG Profile (Environmental, Social, Governance).
  - Positive or Neutral News Sentiment.
  - Good Regulatory Compliance.
  - Lower Exposure to Physical Climate Risks."
Reliance Industries,Energy,Mumbai,19.076,72.8777,7.23,25523.15,80665.84,1.4,63.43,43.51,11.39,20.19,0.93,71.95,87.96,99.31,1,1.27,0.74,1.93,-0.41,0,,1,1,0.5684697886186948,0.8095119303631768,0.11385395613807571,0.6098285354819086,0.0,0.3525,47.670322957424574,Low,"Reliance Industries is classified as Low risk (CRI: 47.67).
Demonstrates strong performance across key risk dimensions:
  - Robust Financial Health.
  - Strong ESG Profile (Environmental, Social, Governance).
  - Positive or Neutral News Sentiment.
  - Good Regulatory Compliance.
  - Lower Exposure to Physical Climate Risks."
Infosys,Technology,Bengaluru,12.9716,77.5946,5.51,482.64,574.29,3.05,32.04,59.75,23.49,14.88,2.82,91.82,63.06,91.41,0,2.42,3.06,17.42,0.06,0,,0,1,0.2109490748775369,0.4907794391142486,0.3065714670613594,0.2651977970438655,0.5,0.235,33.932778440168995,Low,"Infosys is classified as Low risk (CRI: 33.93).
Demonstrates strong performance across key risk dimensions:
  - Robust Financial Health.
  - Strong ESG Profile (Environmental, Social, Governance).
  - Positive or Neutral News Sentiment.
  - Good Regulatory Compliance.
  - Lower Exposure to Physical Climate Risks."
Tata Motors,Automotive,Pune,18.5204,73.8567,3.03,24053.07,45539.34,1.82,30.92,17.92,31.34,24.75,2.01,97.79,76.04,98.3,0,1.75,1.63,-3.09,-0.3,0,,1,1,0.5979366255316677,0.44172083884968283,0.11109645276446875,0.6233478285415084,0.0,0.325,37.10703491374655,Low,"Tata Motors is classified as Low risk (CRI: 37.11).
Demonstrates strong performance across key risk dimensions:
  - Robust Financial Health.
  - Strong ESG Profile (Environmental, Social, Governance).
  - Positive or Neutral News Sentiment.
  - Good Regulatory Compliance.
  - Lower Exposure to Physical Climate Risks."
Apollo Hospitals,Healthcare,Chennai,13.0827,80.2707,8.43,39235.33,60514.95,3.97,62.1,38.98,22.83,5.64,0.77,70.94,75.46,86.29,1,0.78,2.39,11.2,-0.48,0,,1,1,0.650996296065893,0.6465886140291427,0.4008851271553698,0.259323005846473,0.0,0.37,45.98741067743573,Low,"Apollo Hospitals is classified as Low risk (CRI: 45.99).
Demonstrates strong performance across key risk dimensions:
  - Robust Financial Health.
  - Strong ESG Profile (Environmental, Social, Governance).
  - Positive or Neutral News Sentiment.
  - Good Regulatory Compliance.
  - Lower Exposure to Physical Climate Risks."
Asian Paints,Manufacturing,Mumbai,19.076,72.8777,6.71,25544.06,29659.64,2.37,87.41,26.08,13.66,13.91,2.77,78.16,75.91,80.01,0,2.22,0.72,10.32,-0.13,0,,1,1,0.4237278352314522,0.5264745431506107,0.3949674768914756,0.6652933907061923,0.0,0.2825,45.01659886793411,Low,"Asian Paints is classified as Low risk (CRI: 45.02).
Demonstrates strong performance across key risk dimensions:
  - Robust Financial Health.
  - Strong ESG Profile (Environmental, Social, Governance).
  - Positive or Neutral News Sentiment.
  - Good Regulatory Compliance.
  - Lower Exposure to Physical Climate Risks."
L&T,Infrastructure,Mumbai,19.076,72.8777,7.91,24053.07,97460.39,4.83,46.37,37.32,19.03,12.12,0.59,88.29,70.11,81.03,0,1.19,2.48,15.42,0.05,0,,1,1,0.738459601640253,0.5682343646011675,0.41889857355964233,0.24551831613636474,0.0,0.2375,45.11156213719874,Low,"L&T is classified as Low risk (CRI: 45.11).
Demonstrates strong performance across key risk dimensions:
  - Robust Financial Health.
  - Strong ESG Profile (Environmental, Social, Governance).
  - Positive or Neutral News Sentiment.
  - Good Regulatory Compliance.
  - Lower Exposure to Physical Climate Risks."
Wipro,Technology,Bengaluru,12.9716,77.5946,5.61,523.27,1970.16,2.29,83.07,56.89,14.52,17.7,2.24,95.75,63.04,84.4,1,1.52,1.33,14.36,-0.52,0,,1,0,0.13403066310764059,0.7028084449922339,0.5151663744904278,0.4422080795973974,0.5,0.38,45.164345044492,Low,"Wipro is classified as Low risk (CRI: 45.16).
Demonstrates strong performance across key risk dimensions:
  - Robust Financial Health.
  - Strong ESG Profile (Environmental, Social, Governance).
  - Positive or Neutral News Sentiment.
  - Good Regulatory Compliance.
  - Lower Exposure to Physical Climate Risks."
Maruti Suzuki,Automotive,Gurgaon,28.4595,77.0266,7.35,44480.27,33214.75,3.47,83.12,41.09,25.89,11.05,0.73,96.92,86.02,92.66,0,1.06,2.66,20.4,0.57,0,,0,0,0.5340383099450057,0.3890543413878014,0.13002516499909347,0.1531642111976336,1.0,0.10750000000000001,38.64838040298921,Low,"Maruti Suzuki is classified as Low risk (CRI: 38.65).
Demonstrates strong performance across key risk dimensions:
  - Robust Financial Health.
  - Strong ESG Profile (Environmental, Social, Governance).
  - Positive or Neutral News Sentiment.
  - Good Regulatory Compliance.
  - Lower Exposure to Physical Climate Risks."
DMart (Avenue Supermarts),Retail,Mumbai,19.076,72.8777,7.66,21752.72,94612.01,4.88,48.45,24.85,24.57,16.21,2.99,75.28,50.72,89.88,2,1.94,1.56,11.28,0.01,0,,1,1,0.7572423585951055,0.4595882586525979,0.6147350753970071,0.5029291797567113,0.0,0.2475,52.19861516020556,Medium,"DMart (Avenue Supermarts) is classified as Medium risk (CRI: 52.20).
Identified areas for improvement:
  - Moderate Financial Vulnerability.
  - Moderate Environmental Performance.
  - Moderate Governance Gaps.
  - Moderate Physical Climate Risk (Mumbai)."
